鉄道事業者,路線,駅1,駅2,経度1,緯度1,経度2,緯度2,フラグ,value
九州旅客鉄道,日田彦山線,筑前岩屋,大行司,130.88155999999998,33.43078,130.87474,33.3969,1,
九州旅客鉄道,日田彦山線,大行司,宝珠山,130.87474,33.3969,130.87947,33.37885,1,
九州旅客鉄道,日田彦山線,宝珠山,大鶴,130.87947,33.37885,130.88548,33.36698,1,
九州旅客鉄道,日田彦山線,大鶴,今山,130.88548,33.36698,130.876935,33.345145,1,
九州旅客鉄道,日田彦山線,今山,夜明,130.876935,33.345145,130.866215,33.31959500000001,1,
九州旅客鉄道,日南線,南宮崎,田吉,131.42286000000001,31.895290000000003,131.43041,31.878915,1,
九州旅客鉄道,日南線,田吉,南方,131.43041,31.878915,131.434525,31.859445,1,
九州旅客鉄道,日南線,南方,木花,131.434525,31.859445,131.437035,31.83111,1,
九州旅客鉄道,日南線,木花,運動公園,131.437035,31.83111,131.44249000000002,31.81969,1,
九州旅客鉄道,日南線,運動公園,曽山寺,131.44249000000002,31.81969,131.44834500000002,31.81336,1,
九州旅客鉄道,日南線,曽山寺,子供の国,131.44834500000002,31.81336,131.456965,31.80737,1,
九州旅客鉄道,日南線,子供の国,青島,131.456965,31.80737,131.46702,31.799525,1,
九州旅客鉄道,日南線,青島,折生迫,131.46702,31.799525,131.46748,31.789395,1,
九州旅客鉄道,日南線,折生迫,内海,131.46748,31.789395,131.46741,31.758505,1,
九州旅客鉄道,日南線,内海,小内海,131.46741,31.758505,131.46606,31.73799,1,
九州旅客鉄道,日南線,小内海,伊比井,131.46606,31.73799,131.45614,31.71106,1,
九州旅客鉄道,日南線,伊比井,北郷,131.45614,31.71106,131.373885,31.678359999999998,1,
九州旅客鉄道,日南線,北郷,内之田,131.373885,31.678359999999998,131.37265,31.64257,1,
九州旅客鉄道,日南線,内之田,飫肥,131.37265,31.64257,131.36165499999998,31.62722,1,
九州旅客鉄道,日南線,飫肥,日南,131.36165499999998,31.62722,131.38124,31.603025000000002,1,
九州旅客鉄道,日南線,日南,油津,131.38124,31.603025000000002,131.39608,31.58684,1,
九州旅客鉄道,日南線,油津,大堂津,131.39608,31.58684,131.382105,31.55691,1,
九州旅客鉄道,日南線,大堂津,南郷,131.382105,31.55691,131.37216,31.53591,1,
九州旅客鉄道,日南線,南郷,谷之口,131.37216,31.53591,131.34463,31.533385,1,
九州旅客鉄道,日南線,谷之口,榎原,131.34463,31.533385,131.306545,31.534685,1,
九州旅客鉄道,日南線,榎原,日向大束,131.306545,31.534685,131.248725,31.510604999999998,1,
九州旅客鉄道,日南線,日向大束,日向北方,131.248725,31.510604999999998,131.24311,31.48305,1,
九州旅客鉄道,日南線,日向北方,串間,131.24311,31.48305,131.23065,31.462805,1,
九州旅客鉄道,日南線,串間,福島今町,131.23065,31.462805,131.20339,31.45686,1,
九州旅客鉄道,日南線,福島今町,福島高松,131.20339,31.45686,131.178305,31.45854,1,
九州旅客鉄道,日南線,福島高松,大隅夏井,131.178305,31.45854,131.13642,31.469765000000002,1,
九州旅客鉄道,日南線,大隅夏井,志布志,131.13642,31.469765000000002,131.09852999999998,31.47314,1,
九州旅客鉄道,佐世保線,江北,大町,130.16111,33.21911,130.10648,33.212445,2,
九州旅客鉄道,佐世保線,大町,北方,130.10648,33.212445,130.08327,33.21622,2,
九州旅客鉄道,佐世保線,北方,高橋,130.08327,33.21622,130.042375,33.208095,2,
九州旅客鉄道,佐世保線,高橋,武雄温泉,130.042375,33.208095,130.023475,33.196690000000004,2,
九州旅客鉄道,佐世保線,武雄温泉,永尾,130.023475,33.196690000000004,129.980435,33.193394999999995,2,
九州旅客鉄道,佐世保線,永尾,三間坂,129.980435,33.193394999999995,129.94778,33.19473,2,
九州旅客鉄道,佐世保線,三間坂,上有田,129.94778,33.19473,129.90532000000002,33.19031,2,
九州旅客鉄道,佐世保線,上有田,有田,129.90532000000002,33.19031,129.88186000000002,33.18374,2,
九州旅客鉄道,佐世保線,有田,三河内,129.88186000000002,33.18374,129.8291,33.15034,2,
九州旅客鉄道,佐世保線,三河内,早岐,129.8291,33.15034,129.79925,33.13312,2,
九州旅客鉄道,佐世保線,早岐,大塔,129.79925,33.13312,129.78205,33.149215,2,
九州旅客鉄道,佐世保線,大塔,日宇,129.78205,33.149215,129.758305,33.15742,2,
九州旅客鉄道,佐世保線,日宇,佐世保,129.758305,33.15742,129.72685,33.16356,2,
九州旅客鉄道,鹿児島線,門司港,小森江,130.960505,33.944055,130.938875,33.916515000000004,13,
九州旅客鉄道,鹿児島線,小森江,門司,130.938875,33.916515000000004,130.93239,33.90433,13,
九州旅客鉄道,鹿児島線,門司,小倉,130.93239,33.90433,130.88303,33.88659,13,
九州旅客鉄道,鹿児島線,小倉,西小倉,130.88303,33.88659,130.87406,33.88872,13,
九州旅客鉄道,鹿児島線,西小倉,九州工大前,130.87406,33.88872,130.84016,33.90046,13,
九州旅客鉄道,鹿児島線,九州工大前,戸畑,130.84016,33.90046,130.820915,33.897414999999995,13,
九州旅客鉄道,鹿児島線,戸畑,枝光,130.820915,33.897414999999995,130.81286,33.879185,13,
九州旅客鉄道,鹿児島線,枝光,スペースワールド,130.81286,33.879185,130.80652,33.87145,13,
九州旅客鉄道,鹿児島線,スペースワールド,八幡,130.80652,33.87145,130.79483,33.8693,13,
九州旅客鉄道,鹿児島線,八幡,黒崎,130.79483,33.8693,130.76656,33.866915,13,
九州旅客鉄道,鹿児島線,黒崎,陣原,130.76656,33.866915,130.74343499999998,33.867990000000006,13,
九州旅客鉄道,鹿児島線,陣原,折尾,130.74343499999998,33.867990000000006,130.71218,33.86417,13,
九州旅客鉄道,鹿児島線,折尾,水巻,130.71218,33.86417,130.696285,33.852585000000005,13,
九州旅客鉄道,鹿児島線,水巻,遠賀川,130.696285,33.852585000000005,130.67363,33.84675,13,
九州旅客鉄道,鹿児島線,遠賀川,海老津,130.67363,33.84675,130.62343,33.84011,13,
九州旅客鉄道,鹿児島線,海老津,教育大前,130.62343,33.84011,130.59031,33.808175,13,
九州旅客鉄道,鹿児島線,教育大前,赤間,130.59031,33.808175,130.56959,33.80823,13,
九州旅客鉄道,鹿児島線,赤間,東郷,130.56959,33.80823,130.52884,33.794489999999996,13,
九州旅客鉄道,鹿児島線,東郷,東福間,130.52884,33.794489999999996,130.510705,33.773855,13,
九州旅客鉄道,鹿児島線,東福間,福間,130.510705,33.773855,130.48721,33.763755,13,
九州旅客鉄道,鹿児島線,福間,千鳥,130.48721,33.763755,130.47635,33.749055,13,
九州旅客鉄道,鹿児島線,千鳥,古賀,130.47635,33.749055,130.46689,33.73256,13,
九州旅客鉄道,鹿児島線,古賀,ししぶ,130.46689,33.73256,130.457335,33.720924999999994,13,
九州旅客鉄道,鹿児島線,ししぶ,新宮中央,130.457335,33.720924999999994,130.4494425,33.712025499999996,13,
九州旅客鉄道,鹿児島線,新宮中央,福工大前,130.4494425,33.712025499999996,130.44105,33.69903,13,
九州旅客鉄道,鹿児島線,福工大前,九産大前,130.44105,33.69903,130.441155,33.67373,13,
九州旅客鉄道,鹿児島線,九産大前,香椎,130.441155,33.67373,130.44402,33.659735,13,
九州旅客鉄道,鹿児島線,香椎,千早,130.44402,33.659735,130.44068,33.64941,13,
九州旅客鉄道,鹿児島線,千早,箱崎,130.44068,33.64941,130.42655000000002,33.618025,13,
九州旅客鉄道,鹿児島線,箱崎,吉塚,130.42655000000002,33.618025,130.423705,33.6072,13,
九州旅客鉄道,鹿児島線,吉塚,博多,130.423705,33.6072,130.421175,33.589574999999996,13,
九州旅客鉄道,鹿児島線,博多,竹下,130.421175,33.589574999999996,130.43165499999998,33.56864,13,
九州旅客鉄道,鹿児島線,竹下,笹原,130.43165499999998,33.56864,130.44869,33.55326,13,
九州旅客鉄道,鹿児島線,笹原,南福岡,130.44869,33.55326,130.460355,33.54217,13,
九州旅客鉄道,鹿児島線,南福岡,春日,130.460355,33.54217,130.46938,33.534665000000004,13,
九州旅客鉄道,鹿児島線,春日,大野城,130.46938,33.534665000000004,130.48007,33.524964999999995,13,
九州旅客鉄道,鹿児島線,大野城,水城,130.48007,33.524964999999995,130.49034,33.51779,13,
九州旅客鉄道,鹿児島線,水城,都府楼南,130.49034,33.51779,130.50645,33.5033,13,
九州旅客鉄道,鹿児島線,都府楼南,二日市,130.50645,33.5033,130.518925,33.494455,13,
九州旅客鉄道,鹿児島線,二日市,天拝山,130.518925,33.494455,130.53058,33.48161,13,
九州旅客鉄道,鹿児島線,天拝山,原田,130.53058,33.48161,130.53944,33.45208,13,
九州旅客鉄道,鹿児島線,原田,けやき台,130.53944,33.45208,130.53336000000002,33.434115000000006,13,
九州旅客鉄道,鹿児島線,けやき台,基山,130.53336000000002,33.434115000000006,130.53232,33.42137,13,
九州旅客鉄道,鹿児島線,基山,弥生が丘,130.53232,33.42137,130.52869,33.40294,13,
